FID;fid_;E;N;ADA_ID;VELOCITY;X;Y;SATELLITE;GEOMETRY;TRACK;FRAME;INIT_DATE;FINAL_DATE;PIXEL_SIZE;SOFTWARE;PAPERS;COHERENCE;Lon_ETRS89;Lat_ETRS89;MEAN_VLOS;Lon_WGS84;Lat_WGS84;PS_ID;DESC_UNIT;GeoUnif;Masas_subt;aguas_supf;emb_aux;red_trans;Moves;SubsEsp;QAFI_trace;QAFI_vecto;CODE_18;pendientes;Subsidence;Proceso
325;333;612975,632987000048161;4160587,669240000192076;30;-1,346000000000000;-1,720420000000000;37,585419999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612975,632987000048161;4160587,669240000192076;-1,346000000000000;-1,720000000000000;37,585419999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.58542;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;0,321630000000000;4;Sub_Agua
326;334;612979,185087000019848;4165765,692439999897033;30;-1,352000000000000;-1,719580000000000;37,632080000000002;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612979,185087000019848;4165765,692439999897033;-1,352000000000000;-1,720000000000000;37,632080000000002;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.63208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;1; ;1;1;1;242;1,481960000000000;4;Sub_Agua
327;335;612980,681575000053272;4160217,091649999842048;30;-1,538700000000000;-1,720420000000000;37,582079999999998;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612980,681575000053272;4160217,091649999842048;-1,538700000000000;-1,720000000000000;37,582079999999998;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.58208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;0,393520000000000;4;Sub_Agua
328;336;612981,936104999971576;4160125,002049999777228;30;-1,203900000000000;-1,720420000000000;37,581249999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612981,936104999971576;4160125,002049999777228;-1,203900000000000;-1,720000000000000;37,581249999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.58125;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;0,749980000000000;4;Sub_Agua
329;337;613008,191110000014305;4163639,850649999920279;30;-1,938900000000000;-1,719580000000000;37,612920000000003;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613008,191110000014305;4163639,850649999920279;-1,938900000000000;-1,720000000000000;37,612920000000003;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.61292;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,975810000000000;4;Sub_Agua
330;338;613009,462482000002638;4163546,651060000061989;30;-1,930800000000000;-1,719580000000000;37,612079999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613009,462482000002638;4163546,651060000061989;-1,930800000000000;-1,720000000000000;37,612079999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.61208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,685240000000000;4;Sub_Agua
331;339;613037,270434999954887;4166876,215760000050068;30;-0,759300000000000;-1,718750000000000;37,642080000000000;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613037,270434999954887;4166876,215760000050068;-0,759300000000000;-1,719000000000000;37,642080000000000;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.64208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;1; ;1;1;1;242;1,037790000000000;4;Sub_Agua
332;340;613041,059183000004850;4166598,834720000158995;30;-1,016700000000000;-1,718750000000000;37,639580000000002;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613041,059183000004850;4166598,834720000158995;-1,016700000000000;-1,719000000000000;37,639580000000002;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.63958;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;121;0,395170000000000;4;Sub_Agua
333;341;613068,831690000020899;4164565,080389999784529;30;-2,017000000000000;-1,718750000000000;37,621250000000003;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613068,831690000020899;4164565,080389999784529;-2,017000000000000;-1,719000000000000;37,621250000000003;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.62125;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;242;0,210170000000000;4;Sub_Agua
334;342;613075,148200999945402;4164102,410439999774098;30;-2,054200000000000;-1,718750000000000;37,617080000000001;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613075,148200999945402;4164102,410439999774098;-2,054200000000000;-1,719000000000000;37,617080000000001;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.61708;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,271930000000000;4;Sub_Agua
335;343;613076,405371999950148;4164010,320299999788404;30;-2,090000000000000;-1,718750000000000;37,616250000000001;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613076,405371999950148;4164010,320299999788404;-2,090000000000000;-1,719000000000000;37,616250000000001;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.61625;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,641260000000000;4;Sub_Agua
336;344;613094,078986000036821;4162715,511979999952018;30;-2,244100000000000;-1,718750000000000;37,604579999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613094,078986000036821;4162715,511979999952018;-2,244100000000000;-1,719000000000000;37,604579999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.60458;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,908880000000000;4;Sub_Agua
337;345;613107,967019999981858;4167062,506959999911487;30;-0,888600000000000;-1,717920000000000;37,643749999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613107,967019999981858;4167062,506959999911487;-0,888600000000000;-1,718000000000000;37,643749999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.718_37.64375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;1; ;1;1;1;242;0,783690000000000;4;Sub_Agua
338;346;613110,476252999971621;4161513,905420000199229;30;-2,256500000000000;-1,718750000000000;37,593750000000000;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613110,476252999971621;4161513,905420000199229;-2,256500000000000;-1,719000000000000;37,593750000000000;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.59375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;0,950210000000000;4;Sub_Agua
339;347;613111,758368000038899;4166785,125820000190288;30;-0,988100000000000;-1,717920000000000;37,641249999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613111,758368000038899;4166785,125820000190288;-0,988100000000000;-1,718000000000000;37,641249999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.718_37.64125;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,447280000000000;4;Sub_Agua
340;348;613114,260827000020072;4161236,526550000067800;30;-1,837600000000000;-1,718750000000000;37,591250000000002;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613114,260827000020072;4161236,526550000067800;-1,837600000000000;-1,719000000000000;37,591250000000002;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.59125;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,946300000000000;4;Sub_Agua
341;349;613120,573014999972656;4160773,858839999884367;30;-1,506600000000000;-1,718750000000000;37,587080000000000;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613120,573014999972656;4160773,858839999884367;-1,506600000000000;-1,719000000000000;37,587080000000000;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.58708;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,536470000000000;4;Sub_Agua
342;350;613121,829325999948196;4160681,769139999989420;30;-1,421100000000000;-1,718750000000000;37,586250000000000;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613121,829325999948196;4160681,769139999989420;-1,421100000000000;-1,719000000000000;37,586250000000000;S1_DESC_SPA_MURC_20150227_20210607_-1.719_37.58625;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,742470000000000;4;Sub_Agua
343;351;613123,131116000004113;4165952,983099999837577;30;-1,268000000000000;-1,717920000000000;37,633749999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613123,131116000004113;4165952,983099999837577;-1,268000000000000;-1,718000000000000;37,633749999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.718_37.63375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,573160000000000;4;Sub_Agua
344;352;613143,339480999973603;4164473,990579999983311;30;-2,131900000000000;-1,717920000000000;37,620420000000003;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613143,339480999973603;4164473,990579999983311;-2,131900000000000;-1,718000000000000;37,620420000000003;S1_DESC_SPA_MURC_20150227_20210607_-1.718_37.62042;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,132170000000000;4;Sub_Agua
345;353;613166,072230000048876;4162809,711720000021160;30;-2,375100000000000;-1,717920000000000;37,605420000000002;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;613166,072230000048876;4162809,711720000021160;-2,375100000000000;-1,718000000000000;37,605420000000002;S1_DESC_SPA_MURC_20150227_20210607_-1.718_37.60542;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;1,006650000000000;4;Sub_Agua
